Age,Experience,Income,Family,CCAvg,Education,Mortgage,PersonalLoan,SecuritiesAccount,CDAccount,Online,CreditCard
34,10,21,1,0.5,3,0,0,0,0,1,0
48,23,10,2,0.7,3,0,0,0,0,1,1
32,6,84,4,1.8,2,0,0,0,0,0,0
50,24,30,4,0.1,1,161,0,0,0,1,1
43,19,31,4,0.3,1,156,0,0,0,1,0
64,39,182,1,1.2,2,547,1,0,0,1,0
60,34,114,2,6.9,1,0,0,0,0,1,0
43,19,152,3,6.1,2,0,1,0,0,0,0
60,34,53,1,0.8,2,0,0,1,0,0,1
64,39,24,4,0.4,2,78,0,0,0,1,0
44,20,150,2,3.3,1,0,0,0,0,0,1
60,36,132,2,6,1,470,0,0,0,1,1
54,29,68,3,1.6,3,0,0,0,0,1,1
33,9,53,1,1.2,1,0,0,0,0,0,1
56,32,173,1,4.6,2,88,1,0,1,1,0
29,5,30,3,1,2,0,0,0,0,0,0
25,1,113,2,0.2,1,0,0,0,0,1,1
60,34,15,1,0.8,2,0,0,0,0,1,0
55,30,84,2,3.7,1,304,0,1,0,1,0
39,13,88,4,1.4,2,0,0,0,0,1,1
37,13,43,3,2.8,1,0,0,0,0,1,0
53,28,43,2,2.1,3,0,0,0,1,1,1
34,10,90,2,2.7,1,0,0,0,0,1,0
42,18,34,4,0.3,1,104,0,1,0,1,0
60,36,38,4,1.3,1,0,0,0,0,1,0
50,24,173,1,1,1,0,0,0,0,1,1
41,17,160,2,8,1,0,0,0,0,1,0
25,0,44,4,0.6,2,0,0,0,0,1,1
50,24,83,2,0.4,3,0,0,0,0,1,0
48,22,94,4,2.6,3,0,0,0,0,1,0
32,8,43,1,2.1,3,0,0,0,0,0,1
50,25,42,3,1.7,2,0,0,0,0,1,0
59,33,34,2,0.3,1,0,0,0,0,0,0
50,26,39,3,1.9,2,0,0,0,0,1,0
44,19,70,1,0.1,2,0,0,0,0,0,0
31,5,39,4,1.8,3,185,0,0,0,0,1
40,10,44,3,2,3,0,0,0,0,1,0
36,12,69,3,3.1,2,0,1,0,0,1,0
51,25,44,3,0.9,3,0,0,0,0,0,0
64,40,32,3,0.1,3,0,0,0,0,1,0
47,22,15,2,0.7,3,0,0,0,0,0,0
52,28,118,2,6.8,1,112,0,0,0,1,0
51,26,62,1,1.3,2,221,0,0,0,1,0
31,5,82,4,2.2,2,0,0,0,0,0,0
39,14,54,3,3,1,108,0,0,0,0,1
30,6,48,1,2.1,3,0,0,0,0,0,0
27,1,74,3,0.3,3,0,0,0,0,1,0
41,16,113,1,1,3,211,0,0,0,0,1
53,27,81,3,1.7,2,0,0,0,0,0,0
54,27,43,3,1,2,169,0,0,0,0,0
28,4,34,1,1.8,2,0,0,0,0,1,0
34,9,48,1,2.5,3,105,0,0,0,1,0
61,37,54,4,1.2,2,129,0,0,0,1,1
48,24,75,4,1.4,2,0,0,0,0,1,0
36,11,72,1,2.8,1,224,0,0,0,0,0
56,31,39,4,0.9,1,0,0,0,0,0,0
24,-1,75,4,0.2,1,0,0,0,0,1,0
64,38,79,2,2.8,1,179,0,0,0,0,0
26,2,205,1,6.33,1,271,0,0,0,0,1
33,8,65,2,0.1,1,89,0,0,0,1,0
64,39,122,4,0.2,1,378,1,0,0,1,0
39,15,82,1,0.8,2,0,0,0,0,1,0
54,30,21,2,0.2,1,0,0,0,0,0,1
32,6,50,4,2.1,3,0,0,1,1,1,1
62,37,39,2,2.8,1,113,0,0,1,1,1
27,2,101,1,1.9,1,0,0,0,0,0,0
53,28,41,2,0.6,3,0,0,1,0,0,0
51,25,132,1,0.3,1,0,0,0,0,1,0
25,-1,43,3,2.4,2,176,0,0,0,1,0
44,20,131,1,4.9,3,0,1,0,0,1,0
31,5,11,1,0.4,2,76,0,0,0,0,1
57,32,21,1,0.3,3,117,0,0,0,0,0
