Trans. #,Bag,Blush,Nail Polish,Brushes,Concealer,Eyebrow Pencils,Bronzer,Lip liner,Mascara,Eye shadow,Foundation,Lip Gloss,Lipstick,Eyeliner
69,,,,,T,,,,T,T,,,T,
70,,T,,,T,,T,T,T,T,T,T,,T
71,,,T,T,T,,,,,,T,T,,
72,,,T,T,T,,,,,,,,,T
73,,,T,T,T,,T,T,T,T,T,T,,T
74,,T,T,T,T,,T,,T,T,T,,T,
75,,,,,T,,T,T,T,T,,T,,T
76,,,,,,,T,,,,,T,T,T
77,,,,,T,,,,,,T,T,T,T
78,,T,T,T,T,,T,T,,,,,,T
79,,,,,,,,,T,T,T,T,,
80,,T,T,T,T,T,T,T,T,T,T,T,T,
81,,,T,T,T,,T,T,,T,,,T,T
82,,T,,,T,,T,,T,T,T,T,,T
83,,,,,T,,,,,,T,T,T,T
84,T,,,,T,,,,T,T,T,T,,
85,T,,T,T,T,,,,T,,T,T,,
86,,T,,,T,,,,,,T,T,,T
87,,T,T,,,,,,,,,,,
88,,,,,T,,,,T,T,,,,
89,,T,T,T,T,,T,T,,,,,,T
90,,,T,T,T,,T,,,,,T,,T
91,,T,T,,T,,,T,T,T,,T,,T
92,,T,,,T,,,,,,T,T,,T
93,,T,,,,,,,,T,T,T,,T
94,,,T,T,T,,T,T,,,,,,T
95,,,,,,,,T,,,,T,,T
96,,T,,,T,,,T,T,T,,,T,
97,,T,,,T,,,,T,T,T,T,,T
98,,T,T,T,T,,T,,T,T,T,T,,T
99,,T,,,,,T,,,,T,,,
100,,T,T,T,T,,T,T,,,,T,,
101,,T,,,,,T,,,,T,,,
102,,,,,,,T,,T,T,T,T,,
103,,T,T,T,T,,T,T,T,T,,,,
104,,T,,,T,,T,,T,T,T,,,T
105,,T,T,T,T,,T,,T,T,,T,,T
106,,T,,,,,T,,,,,T,,T
107,,,T,T,,,,,T,T,T,T,T,
108,,,,,T,,T,T,,,,T,,
109,,,T,,,,,,T,,T,T,T,
110,T,T,T,T,T,,T,T,T,T,T,T,,T
111,,,,,,,,,,,T,T,,
112,,,,,T,,,,,,T,T,T,
113,,,,,T,,,,,,,,T,T
114,,T,,,T,,,,,,T,,,T
115,,T,,,,,,,,,,,,
116,T,T,T,,T,,T,,T,T,,T,,T
117,,,T,T,,T,T,,,,T,T,,
118,,,,,T,,,,,T,T,T,,
119,,T,,,T,,T,T,,,T,T,T,T
120,,T,T,T,T,,T,T,,,,T,,T
121,,T,,,,,T,,T,T,,T,,
122,T,,,,T,,,,T,T,T,T,T,T
123,T,,T,T,,,T,,,,T,,,
124,T,,,,T,,,,T,,T,T,T,T
125,,,T,,T,,,,,,T,,T,
126,,T,,,T,,,T,T,T,,T,T,T
127,,,T,,T,,,,,,,,,T
128,,,T,T,,T,,,T,T,,,,T
129,,T,,,T,,,,,,,,,T
130,,T,T,T,T,,,T,,,T,,,
131,,T,T,,T,T,T,,,,T,,T,T
132,T,T,,,T,,T,,T,T,,T,,
133,,,T,T,,,T,,,,,T,T,
134,,T,T,T,T,,T,T,T,T,,,T,T
135,,,,,,,,,T,T,T,T,,
136,,T,,,,,T,,T,T,T,,T,
137,,,,,,,,,,T,T,T,,
138,T,T,,,T,,T,T,,,,,,
139,,,,,,,,,,,,,T,T
140,,T,,,T,,,T,,,T,,,T
141,,,,,,,T,,,,,T,,T
142,,T,T,,,,,,T,T,,,,
143,,,,,,,T,,,T,T,,,
144,,T,T,,T,,T,T,T,T,T,T,T,
145,,,,,,,,,,,,,T,T
146,,,,,T,,T,T,,,T,T,,T
147,,T,T,T,T,T,T,T,T,T,,,T,T
148,,,T,T,T,,T,T,T,,,,,T
149,,T,,,,,,,T,,T,T,,
150,,T,,,T,,,T,T,T,T,,,T
151,,,T,,T,,,,,T,T,T,,T
152,T,T,,,T,,T,T,T,T,T,T,,T
153,,T,,,T,,T,T,,,,T,T,T
154,,T,,,T,,T,T,T,T,,,,
155,,,,,,,T,T,,,,T,T,
156,,,,,,,,,,,,,,
157,,,,,T,,,,,,T,T,,
158,T,T,,,T,,,T,,,,T,,T
159,,T,T,T,T,,T,T,T,T,T,T,,T
160,,,T,,T,,,T,,,,,T,T
161,,,T,T,,,T,,,,T,,T,
162,,T,,,T,,T,T,T,T,T,T,,
163,,,T,T,,,T,,,,T,,T,
164,,,,,,,,,T,T,T,T,,
165,,T,,,,T,,,,,T,,,
166,,,T,T,T,,T,T,,,,,T,T
167,,T,,,T,,,T,T,T,,,T,T
168,,,,,,,,,,,,,T,T
169,,,,,T,,,,,,T,T,,T
170,,,,,,,T,,T,,T,,T,
171,,,,,T,,T,,T,T,T,,,T
172,,,,,T,,T,,T,T,,T,T,T
173,,T,,,,,,T,,,T,,,
174,,,T,T,,,T,,,,T,T,T,
175,,T,T,,T,,T,T,,,T,T,,T
176,,,,,T,,T,T,T,T,,,T,
177,,T,T,T,T,,T,,T,T,T,,,T
178,,,,,,,,,T,T,T,T,,
179,,,T,T,T,,,,,,T,T,,T
180,,,,,T,,,T,,,T,,,T
181,,T,,,T,T,T,,,T,T,,,T
182,,T,,,T,,T,,,,T,,,T
183,,,,,T,,,,,T,T,T,,
184,,,T,T,,,T,,T,T,,T,,
185,,T,T,T,T,,T,T,T,T,T,T,,T
186,,T,T,T,T,,T,,,,T,T,T,
187,,,,,T,,T,,,,,T,,T
188,,,,,T,,T,,T,T,T,,,T
189,T,,,,,,T,,T,T,,T,,T
190,,,,,T,,T,T,T,T,,,,T
191,,T,,,T,,T,T,,,,,,
192,,,,,,,,,T,T,T,T,T,T
193,,,,,T,,,,T,,T,T,,T
194,,T,,,T,,,T,T,T,,T,,T
195,,,T,T,,,T,,,,,T,T,T
196,,,T,T,,,T,,T,T,T,,,
197,,,,,,,,,,,T,T,T,T
198,,,,,T,,,,,,,,,T
199,,,T,,,,,T,,,,T,,
200,,,,,,,T,T,,,,,T,T
201,,T,,,,,,,,,,,,
202,,,,,,,,,,,T,T,T,T
203,,,,,,,T,,T,T,,T,T,
204,,,,,T,,T,,,,,T,T,T
205,,T,,,T,,T,,,T,T,,T,T
206,,,T,,,,,,T,T,,,,
207,,T,,,T,,T,,,,T,,T,
208,,,,,,,,,T,T,,,,
209,,T,,,T,,T,T,,,,,T,
210,,T,,,T,,T,T,T,T,,,T,T
211,,T,,,,,,,T,T,,,T,
212,,T,,,,,T,,,,,T,T,
213,T,T,,,,,,,,,T,,,
214,,,,,T,,T,T,T,T,T,T,,T
215,,,,,T,,,,,,,,,T
216,,,,,T,,,,,,T,T,,
217,,,T,,T,,,,T,T,T,T,,T
218,,,,,T,,,T,,,T,,,
219,,,T,T,,,T,T,,T,,,,T
220,T,,T,T,T,,T,T,T,,,,,T
221,,,,,,,,,,,T,T,T,
222,,T,,,T,,,,T,T,,,,T
223,,T,,,T,,,T,,,,T,,
224,,,T,,T,,,T,,,T,,,T
225,,T,,,,,,T,T,T,,T,,T
226,,T,T,,T,,,,,,,,,
227,,T,T,T,T,,T,T,T,T,,T,T,T
228,T,,T,T,T,T,,T,,,,T,T,
229,,T,,,T,,,,T,T,,,,T
230,,,T,T,,,T,T,,,T,T,,
231,,,,,T,T,,,T,T,,,T,T
232,,,,,,,,,,,T,T,,T
233,,,,,T,,,,T,T,T,T,,T
234,,T,T,T,T,,T,T,T,T,T,T,,T
235,,T,,,T,,,,,,,,,T
236,,,,,T,,,,,,,,,
237,,,T,T,T,,,,,,,,,
238,T,T,,,T,,,,T,,T,T,,T
239,T,T,T,T,T,,T,T,T,T,T,T,,
240,,T,T,T,T,,T,T,T,T,,,,T
241,,T,,,,,,,,,,,T,
242,,,,,,,,,,T,T,T,T,T
243,,T,T,T,,,,,T,T,T,T,T,
244,,T,,,T,,,,,T,T,T,,T
245,,T,,,T,,,T,,,,T,,T
246,T,T,,,T,T,,,T,T,,,,T
247,,,,,T,,T,T,T,T,,,,
248,,,,,,,,,,,,,,
249,,,T,T,,,T,,,,T,,,
250,,,,,T,,T,T,T,T,,,,T
251,,,,,T,,T,,,,T,,,T
252,,,,,,,T,,T,T,T,,,
253,,,,,,,,,,T,T,T,,T
254,,,,,T,,,,T,T,,,,
255,,T,,,,,,,,,T,T,T,
256,,,,,T,,,,,,,,,T
257,,T,,,T,,T,T,,,T,T,,
258,,,T,T,,,,,T,T,,,T,
259,,,,,,,,,,,T,T,,
260,,,T,,,,,,T,T,,,T,
261,,,T,,,,T,,,,T,,,
262,,,,,T,,,,T,T,T,T,T,
263,,,T,T,T,,T,T,,,,,,
264,,,T,T,,,,,T,T,,,,T
265,,,,,,,,,,,,,,T
266,,,,,,,,T,,,,T,,
267,,T,T,,T,,,,,,T,T,T,
268,,,,,,,,,T,T,,,,
269,,,T,,,,,,,,T,,T,
270,,,,,,,,,T,T,T,T,,
271,,T,T,T,,,T,,,,T,,,
272,,,,,T,,,,,,,,T,T
273,,,,,,,,,,,,,,
274,,T,,,,,,,,,,,T,
275,,,,,,,,,T,T,T,T,T,T
276,,,T,T,,,T,,T,T,,T,,
277,,T,T,,T,,T,,T,T,,T,,
278,,T,,,,,T,T,T,T,,,,
279,,T,,,T,,,,T,T,,,,T
280,,,,,,,,,,,T,T,,T
281,,,T,T,,,T,,,,T,,,
282,,T,,,,,T,T,T,T,T,T,T,
283,,T,,,T,,,,T,T,T,T,T,T
284,,T,T,,T,T,T,T,,,,,,T
285,,,,,,,,,,,T,T,,T
286,,T,,,T,,,,,,,,,T
287,,,,,T,,,,,,T,T,,T
288,,,,,T,,,,,,,,T,
289,,,,,,,,,,,T,,T,
290,,,,,T,,T,T,T,,,,T,T
291,,,,,,T,,,,,T,,T,
292,,T,,,T,,T,T,T,T,,,,T
293,,,,,,,,,,,,,T,T
294,,T,,,T,,,,T,T,T,T,T,T
295,,,,,T,,,,T,T,T,T,T,T
296,,T,,,T,,,T,T,T,T,,,
297,,,,,T,,,,,,T,T,,T
298,,T,,,T,,T,T,T,T,,,T,T
299,T,T,T,,T,,T,T,T,T,T,T,,
300,,,T,T,,,T,T,T,T,,,,
301,,T,,,T,,T,,,,T,,,T
302,,T,,,T,,,,T,T,T,,T,T
303,,,T,T,T,,T,T,T,T,,,,T
304,,,,,,,,,,,,,,
305,,,,,,,,,,T,T,T,,
306,,,T,T,T,,T,,,,T,,,
307,,,,,T,,T,,T,T,T,,,T
308,,,,,,,,,,T,T,T,,
309,T,T,,,,,,,,,T,T,T,T
310,,T,,,,,,,,,,,T,
311,,,,,,,,,,,T,T,,
312,,T,T,,T,,,,T,T,,,T,T
313,,,,,T,,,T,,,,,T,T
314,,,,,T,,,,,,,,,
315,,,,,T,,,T,,,,T,,T
316,,,,,T,,,,,,,,,T
317,,T,,,T,,,,T,T,T,T,,
318,,,,,,,T,,,,,T,,T
319,,,,,,,,,,,T,T,,
320,,,,,T,,T,,T,,T,,,T
321,,T,,,,,,,,,,,,
322,,,T,,T,,T,,,,T,,T,
323,,T,,,T,,T,,T,T,,T,,T
324,,,T,T,,,T,,,,T,,,
325,,,,,,,,T,T,T,,T,T,
326,,,,,T,,,,,,,,,
327,,,,,,,,,,,T,T,,
328,,,,,,,,,T,T,T,T,,
329,,,,,,,,,T,T,,,,
330,,T,T,T,T,,T,T,,,,,,
331,,T,,,,,T,T,T,T,,,,
332,,,,,,,,,,,T,T,,
333,,,T,,,,,,,,,,T,T
334,,,,,T,,,,T,T,T,T,T,T
335,,,,,T,,T,T,T,T,T,T,T,
336,,T,T,T,T,T,,,T,T,T,T,T,T
337,,,T,T,T,,T,,,T,T,,,T
338,T,T,T,T,T,,,,T,T,T,T,,
339,,,T,,,,T,,,,,T,,
340,T,T,,,T,,,,T,T,T,T,,
341,,,T,,,,,,,T,T,T,,
342,,,,,T,,,,,,T,T,,
343,,,,,,,,,,T,T,T,T,
344,,T,T,T,T,,,T,T,T,T,,,
345,,T,,,,,,,,,,,,
346,,T,,,T,,,,,,T,,,
347,,T,T,T,T,,T,T,,,,,,T
348,,T,,,T,,,,,,T,T,,T
349,,,,,,,,,T,T,T,T,,
350,,T,,,,,,,,,,,T,
351,,T,T,,,T,,,,,T,,,
352,,T,,,T,,,,,,,,,T
353,,,,,T,,T,T,T,T,,,,T
354,,,T,,T,,,T,,,T,,T,T
355,,,T,,,,,,,,,,,
356,,T,T,T,T,T,T,,T,T,T,,T,
357,,,,,,,T,,,,T,T,,
358,,,,,,,T,,,,,T,T,
359,,,,,T,,,,T,T,,,T,
360,,,,,,,,,,,T,T,,
361,,T,T,T,T,,T,T,,,,,T,T
362,,,,,,,,,,T,T,T,,T
363,,T,,,T,,T,,,,,T,,T
364,,,,,,,T,,,,,T,,
365,,,,,T,,T,T,,,T,T,,T
366,,T,,,T,,,,,,T,,,
367,,,,,,,,,,,T,T,,
368,,T,,,T,,,T,T,T,,T,T,T
369,,T,,,T,,,,,T,T,T,T,T
370,,T,T,,T,,,,T,T,T,,T,T
371,,,,,,,,,,,,,,
372,,T,T,,T,,,T,,,,T,,
373,,T,T,,T,,T,,,,,T,,
374,,,,,,,T,,,,T,T,,T
375,,T,,,T,,,,T,T,,,,T
376,,T,T,,T,,T,,T,T,,T,,
377,,,,,,,,,,,T,T,,
378,,T,T,T,T,,T,T,,,,T,,T
379,,,T,T,T,,,,T,T,T,T,,T
380,,T,,,,,T,,,,,T,T,
381,T,,,,T,,T,T,,T,,,,T
382,,,T,,,,,,,T,T,T,,T
383,,T,,,,,,,,,T,,,T
384,,,T,,,,,,T,T,T,,,
385,,,T,,,,,,,,T,,,T
386,,,,,T,,,,,,T,,,
387,,T,,,T,,,,T,,T,T,T,T
388,,,,,,,T,,,,,T,T,
389,,,,,,,,,,,,,T,
390,,,,,T,,,T,,,,T,,T
391,,T,T,,,,,,,,T,T,,T
392,,,T,,,,,,T,T,,,T,
393,,,,,,,,,,,,,,
394,,T,,,,,T,,T,T,T,,,
395,,,,,,,,,,,T,T,,T
396,,T,T,T,T,T,,,T,T,T,T,T,T
397,,T,,,,,,,T,T,T,T,,
398,,,,,,,,,,,,,,
399,,,T,T,,,T,T,T,T,,,T,
400,,T,,,,,T,T,,,,,,
401,,,,,T,,,,,,T,T,,T
402,,,,,,T,,,T,T,T,T,T,
403,,,T,,,,,,,,T,T,,T
404,,,,,T,,T,,,,,T,,
405,,,T,T,,,,T,,,,T,,
406,,,,,T,,,T,,T,,T,T,
407,,,T,T,T,,T,,T,T,,T,,T
408,,,,,,,,,T,T,T,T,T,
409,,,,,,,,,,,,,T,
410,,,,,,,,,,,T,T,,
411,,,,,,,,,T,T,T,T,,
412,,T,,,T,,,,T,T,T,T,T,
413,,,,,,,,T,,,T,,,
414,,,,,,,,,T,T,T,T,,
415,,,,,,,T,,,T,T,,,
416,,,T,T,,,,,T,T,,,T,
417,,,,,T,,T,,,,,T,,T
418,,,,,,,,,,,T,T,,T
419,,T,,,,,,,,,T,T,T,T
420,,,,,,,T,,,,,T,,
421,,,,,T,,,,,,T,T,T,T
422,,,,,,,,,,,T,T,,T
423,,,,,,,T,,,,T,,,
424,,,T,,,,,,,,T,T,,T
425,,,T,,T,,,T,,,T,,,
426,,T,T,,,,,,,,,,T,
427,,,,,T,,,,,,T,T,,T
428,,,,,,,,,,T,T,T,,T
429,,,T,T,T,,T,,,T,T,,T,
430,T,T,,,T,,T,,T,T,T,,,T
431,,,,,,,,,,,,,,
432,,,,,,,,,,,T,T,,
433,,,T,,,,,,,,,,T,
434,,,,,,,,,,,T,T,,
435,,,T,,,,,,,,,,T,
436,,,,,T,,T,,,,,T,,T
437,,,,,,,,,,,,,T,T
438,,T,,,T,,,,,,,,,
439,,T,T,T,T,,T,,T,,T,,,T
440,,T,,,T,T,,T,T,T,T,,T,T
441,,T,,,T,,,,T,T,T,,,T
442,,,,,,,,,T,,T,T,T,T
443,,,,,T,,,,,,T,T,,
444,,,,,,,T,,,,T,,T,
445,,,T,,,,,,,,,,,
446,,,,,,,,,,,T,T,,T
447,,,,,,,,,,,T,T,T,T
448,,T,,,,,,,,T,T,T,T,
449,,,,,,,,,,,T,T,T,
450,,T,,,,,,,,,,,T,
451,,T,,,T,,,T,,,,T,T,T
452,,,T,,T,,,,T,T,,,T,T
453,,,,,,,T,T,,,T,T,,
454,,T,,,T,,,T,T,T,T,,,T
455,,T,T,T,,,T,,,,T,,,T
456,,T,,,T,,T,T,T,T,T,T,,
457,,,T,,,,,T,,,T,,,
458,,T,T,,T,,,T,T,T,T,,T,T
459,,T,T,,T,,T,,,,T,T,T,T
460,,,,,T,,,T,,,,T,T,T
461,,T,,,T,,,T,,,T,,,T
462,,T,,,,,,,,T,T,T,,T
463,,,,,T,,T,,,,T,T,T,
464,,,,,,,,,,,,,T,T
465,,T,T,T,T,,,T,,,T,,,T
466,,,T,,,,T,,T,T,,T,,
467,,T,,,T,,,,,,,,,
468,,,,,T,,,,,,,,T,
469,,,,,,,T,T,,,T,T,,
470,,,,,T,,,T,,T,,T,,T
471,,,,,,,,,,,T,T,,T
472,,,,,T,,,T,T,,,T,,T
473,,,,,T,,,,,,,,T,T
474,,T,,,,,,,,,T,T,T,
475,,,T,T,T,,,,T,T,,,,T
476,,,T,T,,,,,,,T,T,,T
477,,T,,,T,,,,T,T,T,T,,
478,,,,,,,T,,,,T,,,T
479,,,,,T,,T,T,T,T,,,,
480,,,,,,,,,T,T,,,,
481,,,,,T,,,T,,T,,T,T,
482,,,,,T,,,T,,,,,T,T
483,,,,,,,T,T,,,,,T,
484,,,,,,,,,,,T,T,,
485,,,,,,,,,,,T,T,,T
486,,,,,T,,,,,,T,T,T,T
487,,,,,T,,,T,,,,T,T,T
488,,T,T,,,,,,T,T,T,T,,T
489,,,,,T,,,,,,,,T,T
490,,,,,,,,,,,,,T,
491,,,,,,T,,,,,T,T,T,
492,,T,,,T,T,,T,T,T,,,T,
493,,T,,,T,,T,T,,,,,T,T
494,,T,,,T,,,,,,,,T,T
495,,,,,,,,,,,T,,T,
496,,T,T,,,,,,,,T,T,T,T
497,,T,T,T,T,,T,,T,T,T,,T,T
498,,T,T,T,,,,,T,T,,,T,T
499,,,,,,,,,,,T,T,,
500,,,,,T,,T,T,,,,,,
501,,,,,,,,T,,,T,,,
502,T,T,T,T,,,,,T,T,T,,,
503,,,,,T,,,,,T,T,T,T,T
504,,,T,T,T,,T,,T,T,,T,,
505,,,,,,,,,,,,,,
506,,,,,,,,,,,T,,,
507,,T,,,T,,,,T,T,T,,,
508,,T,T,T,,,,,T,T,,,T,
509,,,,,,,,,T,T,T,T,T,
510,,T,,,T,,T,T,,,,T,T,T
511,,,,,,,,,,,T,T,T,
512,,,,,,,,,,,,,,
513,,,,,,,T,,,,T,,T,
514,,T,,,,,,,,,T,T,,
515,,,,,,,,,,,,,,T
516,,,,,T,,,,,,T,T,,
517,,,,,T,,T,,,,T,,,T
518,,,,,T,,T,T,,,,,T,T
519,,,T,,,,T,,,T,T,,,
520,,T,,,T,,,T,T,,,T,,
521,,,,,T,,,T,,,T,,,
522,,,,,T,,,T,,,T,,,T
523,,T,,,T,,,,,,T,,T,T
524,,,T,T,,,,,,,T,T,,
525,,T,,,,,,,,,,,,
526,,,,,,,,,T,T,T,T,,
527,,T,T,,T,,,,T,T,T,T,,
528,,T,,,T,,,T,T,T,,,,T
529,,,T,,T,,T,,,,,T,,T
530,,,T,,T,,,,,,,,T,T
531,,,T,T,T,,,,T,T,,,,
532,,T,,,T,,T,,,,,T,T,T
533,T,T,T,T,T,,T,T,T,T,,,,
534,,,,,,,,,T,T,T,T,,
535,,,T,T,,,,,,,T,T,T,
536,,T,T,T,,,,,T,T,T,T,T,T
537,,T,,,,,,,T,T,,,,
538,,T,,,,,,,T,T,,,T,
539,,T,,,T,,T,,T,T,,T,,
540,,,,,T,,T,T,T,T,,,,T
541,,,,,,,,,,,,,,
542,,T,,,T,,,,,,T,T,,T
543,,,,,,,,,,,T,,,
544,,,,,T,,,,,,T,T,,T
545,,,,,,,,,,,T,T,,
546,,,,,,,T,,,,T,,T,
547,,T,,,,,,,,,T,T,T,
548,,T,,,T,,,T,,,T,,T,
549,,,,,,,,,T,T,T,T,T,
550,,T,,,T,,,T,T,T,T,,,
551,,T,T,,,,T,,T,T,,T,T,
552,,,T,,T,,,,,,T,T,,T
553,,T,T,,T,,,T,T,T,T,,,T
554,,T,,,,,,,,,,,T,T
555,,,,,T,,,,,,T,T,T,T
556,,T,,,T,,,T,T,T,,T,T,T
557,,,,,,,,,,,,,,
558,,T,,,,,,,T,T,,,T,T
559,,,,,T,,T,,,,,T,,T
560,,T,,,T,,,,T,T,,,,T
561,T,T,,,T,,,,,,T,,,
562,,,,,,,,,,T,T,T,T,
563,,,,,,,,,,,T,T,T,
564,,T,,,T,,,T,,,T,,T,
565,,,,,T,,,,T,T,T,T,T,
566,,T,T,T,T,,T,T,T,T,,,,T
567,,,,,T,,,,,,T,,,T
568,,T,,,,,T,,T,T,T,,,
569,,T,T,,T,,,T,T,T,,,T,
570,,,,,,,,,T,T,T,,,
571,,,,,T,,,,,,T,,,T
572,,T,,,,,,,,,T,T,,
573,T,,T,T,T,,,,,,T,T,T,T
574,,,,,,,T,,,,,T,,T
575,,,,,T,,,,,,,,T,T
576,,,,,,,,,,,T,T,,
577,,,,,T,,,T,,T,,T,,
578,,,T,,,,,,,,T,T,,
579,,,,,,,,,,,T,T,,T
580,,,T,T,T,,,T,,T,,T,,T
581,,,,,T,,T,,,T,T,,,T
582,,,T,,,,,,,,,,,
583,,T,,,,,,,,,T,T,T,
584,,,,,,,,,,,T,T,T,
585,,,,,,,,,,,T,T,T,
586,,T,,,,,,,T,T,T,T,,
587,,,,,,,,,,,T,T,T,T
588,,,,,T,,,,,,,,,
589,,,,,,,,T,,,,T,T,
590,,T,T,,T,,,,,,,,,T
591,,,,,T,T,,,,,T,T,,
592,,T,,,,,,,T,T,,,,T
593,,,,,T,,,,T,T,,,,T
594,,,,,,,,,,,T,,T,T
595,,,,,T,,,,,,T,,T,T
596,,T,,,,,,,,T,T,T,T,
597,T,T,T,T,T,T,T,T,T,T,,,T,T
598,,T,T,T,,,,,,,T,T,T,
599,,,,,,,,,,,,,,
600,,,,,,,T,,,,,T,T,
601,,,,,,,,,,,,,,
602,,,T,,,,,,T,T,T,T,T,T
603,,T,T,,,,,,T,T,T,T,,
604,,,T,,,,,,,T,T,T,T,
605,,,,,T,,,,,,,,,T
606,,,,,T,,,,,,,,,T
607,,,,,,,,,T,T,T,T,T,
608,,T,T,T,T,,T,T,,,,T,,T
609,,T,,,T,,,,,,,,,
610,,T,,,T,T,,,T,T,,,,
611,T,T,T,,,,,T,,,T,,,
612,,,,,T,,T,T,T,,,,,T
613,T,T,,,,,,,T,,T,T,T,
614,,T,T,,,,,,,,T,T,,
615,,,,,,,,,,,T,T,,T
616,,T,,,,,,T,,,,,,
617,,,,,,,,,,,,,T,T
618,,,,,,T,,,T,T,,,T,
619,,T,,,,T,,,,,,,,T
620,,,,,,,,T,,,,T,,
621,T,,,,T,,T,T,T,T,T,T,T,
622,,,,,,,,,,,,,,
623,,,,,,,,,T,T,T,T,T,
624,,,,,T,,,,,,T,T,,T
625,T,T,,,T,,,T,,,,T,,
626,,,,,,,,,,,T,,T,T
627,,T,,,T,,,,T,T,,,,T
628,,,,,,T,,,,,,,,
629,,,,,,,,,T,,T,T,,T
630,,,,,,,,,,,T,T,T,
631,,,,,,,T,,,,T,T,,T
632,,,,,,,,,,,,,T,
633,,T,T,,T,,T,T,T,T,,,,
634,,T,,,,,,,T,T,,,,
635,,,T,T,T,,,,,T,T,T,T,T
636,,,,,T,,,,T,T,,,,T
637,,T,,,,,,,,,,,T,
638,,T,,,,,,,,T,T,T,,
639,,,,,,,,,T,T,T,,,T
640,,T,T,,,,,,,,,,,
641,,T,,,T,,T,,T,T,T,,,
642,,,T,,T,,,,,,T,T,,
643,,,,,,,,,,,T,T,T,
644,,T,,,,,,,T,T,,,,T
645,,,,,,,,,T,T,T,T,,
646,,T,T,T,,T,T,,T,T,,T,T,T
647,,,,,,,,,T,T,T,T,,
648,,,,,,,,,,,T,,,
649,,T,T,,T,,T,,T,T,T,,,T
650,,,T,,,,,,,,T,T,T,
651,,T,,,T,,T,,T,T,,T,,T
652,,,,,T,,,,,,T,T,,T
653,,,,,,,,,T,T,,,,
654,,,,,,,,,,,,,,T
655,,,,,,,,,,,,,,T
656,,,T,,,,,,,,T,T,,
657,,T,,,,,,,T,T,,,T,
658,,T,,,T,,T,T,,,T,T,T,T
659,,,,,T,,,,,,T,,,T
660,,,,,,,,,,,T,T,,
