기준_날짜,기준_시간,시작_대여소,종료_대여소,전체건수,전체_이용_분,전체_이용_거리
20220731,0,ST-2308,ST-2309,2,29,3581
20220731,0,ST-1852,ST-1869,1,124,26830
20220731,0,ST-2273,ST-2273,1,1,0
20220731,0,ST-1467,ST-1464,3,18,3876
20220731,0,ST-2594,ST-2314,1,19,3241
20220731,0,ST-2901,ST-295,1,17,7570
20220731,0,ST-2396,ST-1005,1,3,770
20220731,0,ST-883,ST-883,1,2,88
20220731,0,ST-2855,ST-1960,1,2,270
20220731,0,ST-2905,ST-2905,2,60,4250
20220731,0,ST-2207,ST-227,1,13,1650
20220731,0,ST-2222,ST-376,1,22,4417
20220731,0,ST-109,ST-1298,2,66,10880
20220731,0,ST-2517,ST-2274,2,152,14175
20220731,0,ST-328,ST-439,1,1,370
20220731,0,ST-1137,ST-2107,1,3,490
20220731,0,ST-2688,ST-2688,1,0,0
20220731,0,ST-1791,ST-1813,1,22,4083
20220731,0,ST-2223,ST-2074,1,14,1430
20220731,0,ST-1349,ST-2292,1,10,2060
20220731,0,ST-506,ST-1661,1,8,1224
20220731,0,ST-99,ST-2543,1,60,4530
20220731,0,ST-2019,ST-17,1,19,3610
20220731,0,ST-86,ST-462,1,16,2707
20220731,0,ST-871,ST-1527,1,5,1040
20220731,0,ST-281,ST-3011,1,6,931
20220731,0,ST-1887,ST-3079,1,35,4640
20220731,0,ST-2125,ST-2127,1,7,770
20220731,0,ST-1083,ST-1687,1,13,2110
20220731,0,ST-2839,CENTER,1,15,0
20220731,0,ST-1203,ST-1215,1,16,4167
20220731,0,ST-1227,ST-678,1,13,1340
20220731,0,ST-2583,ST-839,1,3,550
20220731,0,ST-112,ST-971,1,53,10330
20220731,0,ST-987,ST-257,1,86,1190
20220731,0,ST-2810,ST-1653,1,6,1380
20220731,0,ST-2613,ST-1511,1,5,873
20220731,0,ST-401,ST-606,1,27,6492
20220731,0,ST-1780,ST-269,1,26,4706
20220731,0,ST-173,ST-161,1,4,1280
20220731,0,ST-2688,ST-2688,1,0,0
20220731,0,ST-2273,ST-655,1,4,1120
20220731,0,ST-1163,ST-1152,1,14,2156
20220731,0,ST-482,ST-2278,1,40,7110
20220731,0,ST-2223,ST-971,1,11,1295
20220731,0,ST-197,ST-1164,1,69,10810
20220731,0,ST-941,ST-941,2,201,28080
20220731,0,ST-1137,ST-1467,1,39,3635
20220731,0,ST-1369,ST-1061,1,11,1160
20220731,0,ST-2132,ST-600,1,43,6870
20220731,0,ST-1254,ST-1254,1,42,6443
20220731,0,ST-464,ST-481,1,7,691
20220731,0,ST-2935,ST-1474,1,44,8261
20220731,0,ST-2047,ST-2613,1,7,888
20220731,0,ST-2896,ST-2076,1,73,16070
20220731,0,ST-285,ST-1985,2,24,2960
20220731,0,ST-295,ST-1973,2,7,1390
20220731,0,ST-2133,ST-2133,1,62,13069
20220731,0,ST-788,ST-3066,1,8,1360
20220731,0,ST-1523,ST-2011,1,17,1734
20220731,0,ST-1279,ST-2726,1,11,1040
20220731,0,ST-2075,ST-2076,1,10,2656
20220731,0,ST-145,ST-2625,1,10,1940
20220731,0,ST-1817,ST-160,1,13,1823
20220731,0,ST-1497,ST-624,1,45,7340
20220731,0,ST-713,ST-1678,1,3,328
20220731,0,ST-827,ST-1631,1,8,611
20220731,0,ST-1787,ST-842,1,35,5030
20220731,0,ST-72,ST-3102,1,6,1090
20220731,0,ST-2765,ST-2013,1,6,789
20220731,0,ST-918,ST-1697,1,4,880
20220731,0,ST-1105,ST-3046,1,9,1520
20220731,0,ST-2373,ST-1548,1,3,570
20220731,0,ST-28,ST-2978,1,3,111
20220731,0,ST-1015,ST-2763,1,21,4742
20220731,0,ST-2173,ST-2905,1,52,9815
20220731,0,ST-1237,ST-668,1,8,1092
20220731,0,ST-1286,ST-1426,1,12,2011
20220731,0,ST-345,ST-33,1,7,890
20220731,0,ST-453,ST-2824,1,55,1708
20220731,0,ST-2979,ST-14,1,59,800
20220731,0,ST-1882,ST-2363,1,26,7021
20220731,0,ST-2264,ST-481,1,10,1500
20220731,0,ST-2814,ST-2814,2,104,12056
20220731,0,ST-2181,ST-1445,1,12,847
20220731,0,ST-272,ST-1198,1,7,1180
20220731,0,ST-1064,ST-2412,1,6,843
20220731,0,ST-1544,ST-1152,1,5,550
20220731,0,ST-2363,ST-2363,1,17,1940
20220731,0,ST-1065,ST-835,1,15,800
20220731,0,ST-244,ST-408,1,8,1362
20220731,0,ST-2240,ST-2240,1,6,25
20220731,0,ST-2878,ST-1413,1,4,559
20220731,0,ST-1015,ST-1495,1,2,570
20220731,0,ST-2872,ST-714,1,7,1882
20220731,0,ST-1590,ST-930,1,43,7130
20220731,0,ST-156,ST-175,1,20,2998
20220731,0,ST-33,ST-82,1,10,2440
20220731,0,ST-2264,ST-33,1,11,2040
20220731,0,ST-3084,ST-2557,1,8,914
20220731,0,ST-426,ST-1508,1,41,4855
20220731,0,ST-914,ST-2707,1,11,1680
20220731,0,ST-1705,ST-2546,1,19,5040
20220731,0,ST-2822,ST-1650,1,8,1074
20220731,0,ST-1435,ST-1721,1,35,8530
20220731,0,ST-2280,ST-401,1,4,506
20220731,0,ST-1435,ST-946,1,24,3530
20220731,0,ST-1185,ST-1888,1,3,580
20220731,0,ST-1887,ST-1887,1,1,0
20220731,0,ST-369,ST-369,1,19,2109
20220731,0,ST-2080,ST-2081,1,3,634
20220731,0,ST-2050,ST-2412,1,8,1130
20220731,0,ST-1297,ST-1297,1,37,10119
20220731,0,ST-3111,ST-792,1,18,2480
20220731,0,ST-238,ST-366,1,65,3640
20220731,0,ST-1933,ST-2894,1,3,690
20220731,0,ST-883,ST-2873,1,10,1145
20220731,0,ST-506,ST-378,1,22,4120
20220731,0,ST-1660,ST-99,1,8,945
20220731,0,ST-1321,ST-518,1,55,9720
20220731,0,ST-18,ST-462,1,22,6686
20220731,0,ST-942,ST-942,1,0,0
20220731,0,ST-1611,ST-165,1,8,984
20220731,0,ST-1185,ST-1888,1,3,580
20220731,0,ST-883,ST-668,1,7,700
20220731,0,ST-508,ST-508,1,45,439
20220731,0,ST-1107,ST-3000,1,28,4592
20220731,0,ST-3051,ST-183,1,4,830
20220731,0,ST-1701,ST-1701,1,150,6520
20220731,0,ST-2172,ST-2172,1,0,0
20220731,0,ST-168,ST-1809,1,19,2570
20220731,0,ST-897,ST-1077,1,1,350
20220731,0,ST-2479,ST-2479,1,86,16715
20220731,0,ST-975,ST-1254,1,3,416
20220731,0,ST-2995,CENTER,1,9,0
20220731,0,ST-73,ST-2199,1,54,10580
20220731,0,ST-455,ST-1025,1,5,974
20220731,0,ST-1390,ST-1391,2,26,2761
20220731,0,ST-702,ST-1678,1,12,2210
20220731,0,ST-1454,ST-565,1,19,2570
20220731,0,ST-363,ST-106,1,19,3170
20220731,0,ST-2626,ST-157,1,20,2358
20220731,0,ST-1621,ST-492,2,96,8963
20220731,0,ST-204,ST-22,1,8,1242
20220731,0,ST-2701,ST-736,1,11,1697
20220731,0,ST-2172,ST-1626,1,157,18849
20220731,0,ST-387,ST-2309,1,10,1672
20220731,0,ST-473,ST-464,1,13,1140
20220731,0,ST-2619,ST-1417,1,9,1952
20220731,0,ST-2166,ST-2981,1,4,270
20220731,0,ST-1004,ST-1398,1,36,1060
20220731,0,ST-1062,ST-1512,1,23,4220
20220731,0,ST-99,ST-392,1,45,9846
20220731,0,ST-136,ST-1779,1,8,1309
20220731,0,ST-2924,ST-692,1,20,1976
20220731,0,ST-1069,ST-2558,1,18,2280
20220731,0,ST-1452,ST-386,2,55,5538
20220731,0,ST-2308,ST-388,1,24,3620
20220731,0,ST-2547,ST-257,1,15,1790
20220731,0,ST-2905,ST-231,1,37,8095
20220731,0,ST-1866,ST-2581,1,21,3149
20220731,0,ST-1278,ST-610,1,26,2770
20220731,0,ST-2268,ST-2269,1,20,2955
20220731,0,ST-297,ST-683,1,18,1928
20220731,0,ST-1305,ST-924,1,20,3700
20220731,0,ST-1083,ST-3070,1,8,784
20220731,0,ST-1220,ST-1238,1,11,1640
20220731,0,ST-1102,ST-1459,1,6,1470
20220731,0,ST-2613,ST-2557,1,6,870
20220731,0,ST-1668,ST-21,1,28,6005
20220731,0,ST-1605,ST-1454,1,30,2877
20220731,0,ST-2608,ST-2915,1,15,3669
20220731,0,ST-416,ST-416,1,33,1289
20220731,0,ST-2089,ST-1136,1,8,1160
20220731,0,ST-2689,ST-2689,1,8,1170
20220731,0,ST-643,ST-615,1,14,1850
20220731,0,ST-136,ST-1298,1,87,13630
20220731,0,ST-781,ST-889,1,5,800
20220731,0,ST-2308,ST-1378,1,8,1540
20220731,0,ST-1298,ST-410,1,6,1118
20220731,0,ST-873,ST-1228,1,13,1757
20220731,0,ST-442,ST-3072,2,121,22027
20220731,0,ST-142,ST-145,2,36,2161
20220731,0,ST-436,ST-2177,1,5,760
20220731,0,ST-959,ST-761,1,23,1737
20220731,0,ST-2283,ST-2290,1,10,1923
20220731,0,ST-553,ST-1590,1,6,1160
20220731,0,ST-151,ST-1782,2,39,5670
20220731,0,ST-1718,ST-2049,1,6,1251
20220731,0,ST-259,ST-984,1,7,1495
20220731,0,ST-2975,ST-2975,2,80,8658
20220731,0,ST-1249,ST-1512,2,17,2151
20220731,0,ST-2223,ST-2088,1,27,5353
20220731,0,ST-339,ST-211,1,16,1824
20220731,0,ST-1081,ST-1793,1,3,770
20220731,0,ST-1733,ST-12,1,65,10920
20220731,0,ST-850,ST-2636,1,9,750
20220731,0,ST-1660,ST-2305,1,3,823
20220731,0,ST-99,ST-446,1,15,2400
20220731,0,ST-609,ST-2699,1,64,2357
20220731,0,ST-2868,ST-904,1,23,2014
20220731,0,ST-2613,ST-2481,1,12,2252
20220731,0,ST-1286,ST-2085,1,3,463
20220731,0,ST-2486,ST-1062,1,2,280
20220731,0,ST-454,ST-464,1,9,1150
20220731,0,ST-1146,ST-637,2,104,20830
20220731,0,ST-1100,ST-2549,2,118,23530
20220731,0,ST-1286,ST-1286,2,0,0
20220731,0,ST-522,ST-2613,1,2,340
20220731,0,ST-1546,ST-883,1,35,3769
20220731,0,ST-26,ST-19,1,2,620
20220731,0,ST-1632,ST-397,1,5,470
20220731,0,ST-2035,ST-522,1,8,900
20220731,0,ST-151,ST-151,1,0,0
20220731,0,ST-784,ST-1833,1,54,10480
20220731,0,ST-831,ST-2031,1,14,2270
20220731,0,ST-2177,ST-2924,1,1,220
20220731,0,ST-421,ST-292,2,11,2200
20220731,0,ST-2045,ST-2056,1,12,1535
20220731,0,ST-1048,ST-2733,1,9,1048
20220731,0,ST-3063,ST-2076,1,16,2920
20220731,0,ST-1334,ST-1334,2,55,9914
20220731,0,ST-388,ST-2830,1,8,1180
20220731,0,ST-211,ST-210,1,8,1180
20220731,0,ST-1983,ST-2800,1,4,583
20220731,0,ST-2198,ST-2219,1,58,6236
20220731,0,ST-1397,ST-6,1,21,2594
20220731,0,ST-1973,ST-295,1,4,568
20220731,0,ST-394,ST-262,1,9,1890
20220731,0,ST-3056,ST-1344,1,16,4600
20220731,0,ST-1484,ST-2195,1,15,3120
20220731,0,ST-1705,ST-1086,2,71,11819
20220731,0,ST-2273,ST-2273,1,1,0
20220731,0,ST-2486,ST-1062,1,2,280
20220731,0,ST-2975,ST-2975,1,0,0
20220731,0,ST-2613,ST-2480,1,12,2214
20220731,0,ST-413,ST-280,1,4,460
20220731,0,ST-936,ST-1935,1,18,3083
20220731,0,ST-827,ST-1455,1,5,912
20220731,0,ST-98,ST-98,1,17,1433
20220731,0,ST-2309,ST-1722,1,4,800
20220731,0,ST-248,ST-1195,1,7,1700
20220731,0,ST-1714,ST-1517,1,31,2003
20220731,0,ST-369,ST-358,1,3,320
20220731,0,ST-1266,ST-1266,1,54,13074
20220731,0,ST-2422,ST-1197,2,58,8759
20220731,0,ST-1263,ST-1194,1,47,930
20220731,0,ST-876,ST-1960,1,7,1483
20220731,0,ST-312,ST-312,1,27,3420
20220731,0,ST-2309,ST-106,1,20,3560
20220731,0,ST-522,ST-2613,1,2,340
20220731,0,ST-1696,ST-1501,1,26,3332
20220731,0,ST-460,ST-2264,1,10,1290
20220731,0,ST-897,ST-1077,1,1,350
20220731,0,ST-2200,ST-217,1,3,646
20220731,0,ST-2822,ST-1653,1,3,286
20220731,0,ST-1171,ST-777,1,54,3160
20220731,0,ST-524,ST-1065,1,10,2200
20220731,0,ST-3013,ST-1521,2,53,5720
20220731,0,ST-482,ST-370,1,16,2808
20220731,0,ST-2446,ST-329,1,12,1181
20220731,0,ST-2200,ST-217,1,3,646
20220731,0,ST-2655,ST-1361,1,13,930
20220731,0,ST-884,ST-2357,1,23,2882
20220731,0,ST-547,ST-548,1,2,0
20220731,0,ST-1996,ST-1996,2,0,0
20220731,0,ST-2953,ST-856,1,2,330
20220731,0,ST-963,ST-2876,1,41,9064
20220731,0,ST-2948,ST-949,1,52,7680
20220731,0,ST-1286,ST-1118,1,5,530
20220731,0,ST-1137,ST-2724,1,7,1083
20220731,0,ST-673,ST-1218,1,7,926
20220731,0,ST-463,ST-460,1,5,900
20220731,0,ST-599,ST-566,1,1,450
20220731,0,ST-1506,ST-528,1,7,1090
20220731,0,ST-1661,ST-1722,1,25,2500
20220731,0,ST-1137,ST-2119,1,8,1202
20220731,0,ST-3066,ST-1344,1,15,2520
20220731,0,ST-595,ST-2294,1,9,1487
20220731,0,ST-1251,ST-835,1,16,2031
20220731,0,ST-2587,ST-1047,1,21,4698
20220731,0,ST-1996,ST-2762,1,24,3215
20220731,0,ST-2944,ST-1646,1,2,253
20220731,0,ST-2815,ST-413,1,9,1138
20220731,0,ST-2555,ST-2481,1,27,4660
20220731,0,ST-702,ST-688,1,13,2860
20220731,0,ST-1660,ST-2266,1,59,8050
20220731,0,ST-2166,ST-2981,1,4,270
20220731,0,ST-2177,ST-2924,1,1,220
20220731,0,ST-1705,ST-1705,1,0,0
20220731,0,ST-2172,ST-2172,1,0,0
20220731,0,ST-1077,ST-2589,1,6,820
20220731,0,ST-2394,ST-2380,1,6,1230
20220731,0,ST-2172,ST-1376,1,6,1150
20220731,0,ST-920,ST-1228,1,3,540
20220731,0,ST-909,ST-909,1,3,222
20220731,0,ST-804,ST-804,1,9,619
20220731,0,ST-2594,ST-241,1,75,12070
20220731,0,ST-1793,ST-1413,1,22,4040
20220731,0,ST-1995,ST-280,1,12,1890
20220731,0,ST-753,ST-923,1,5,778
20220731,0,ST-942,ST-942,1,0,0
20220731,0,ST-1015,ST-1495,1,2,570
20220731,0,ST-579,ST-579,1,3,129
20220731,0,ST-877,ST-8,1,36,7830
20220731,0,ST-1705,ST-1705,1,0,0
20220731,0,ST-345,ST-222,1,3,497
20220731,0,ST-2120,ST-2088,1,14,1607
20220731,0,ST-1887,ST-1887,1,1,0
20220731,0,ST-821,ST-821,1,104,14710
20220731,0,ST-401,ST-401,1,66,19180
20220731,0,ST-2794,ST-2794,1,40,1174
20220731,0,ST-1420,ST-495,1,8,1110
20220731,0,ST-1286,ST-2076,1,20,3070
20220731,0,ST-2031,ST-2034,1,12,1380
20220731,0,ST-1961,ST-1529,1,5,1100
20220731,0,ST-1141,ST-2642,2,10,1963
20220731,0,ST-1996,ST-1000,1,11,2036
20220731,0,ST-572,ST-564,1,9,1330
20220731,0,ST-978,CENTER,1,40,0
20220731,0,ST-1603,ST-2317,1,9,1343
20220731,0,ST-1813,ST-2225,1,22,3410
20220731,0,ST-1926,ST-966,1,25,3548
20220731,0,ST-156,ST-172,1,51,1322
20220731,0,ST-1848,ST-2740,1,6,908
20220731,0,ST-1083,ST-541,1,5,1065
20220731,0,ST-2594,ST-2601,1,5,548
20220731,0,ST-99,ST-99,2,94,13270
20220731,0,ST-9,ST-9,1,2,10
20220731,0,ST-394,ST-974,2,44,5527
20220731,0,ST-2308,ST-1664,1,18,2565
20220731,0,ST-690,ST-1700,1,26,3800
20220731,0,ST-813,ST-818,1,10,1320
20220731,0,ST-1075,ST-540,2,112,16026
20220731,0,ST-871,ST-1960,1,5,884
20220731,0,ST-3000,ST-1093,1,20,2617
20220731,0,ST-2157,ST-349,2,55,13430
20220731,0,ST-400,ST-2508,2,30,4241
20220731,0,ST-1195,ST-261,1,22,4705
20220731,0,ST-1441,ST-2420,1,40,6986
20220731,0,ST-295,ST-1973,1,3,700
20220731,0,ST-1286,ST-1286,2,0,0
20220731,0,ST-2822,ST-1653,1,3,286
20220731,0,ST-1046,ST-690,1,81,21576
20220731,0,ST-1011,ST-2003,1,6,760
20220731,0,ST-513,ST-1710,1,15,1691
20220731,0,ST-1705,ST-1079,2,56,7319
20220731,0,ST-2045,ST-1251,1,7,2970
20220731,0,ST-2948,ST-1355,1,33,5700
20220731,0,ST-202,ST-204,1,5,636
20220731,0,ST-2851,ST-714,1,12,2330
20220731,0,ST-946,ST-326,1,12,2061
20220731,0,ST-1222,ST-1275,1,4,580
20220731,0,ST-71,ST-2813,1,3,460
20220731,0,ST-60,ST-420,1,12,1974
20220731,0,ST-470,ST-473,1,6,1211
20220731,0,ST-547,ST-548,1,2,0
20220731,0,ST-2807,ST-1653,1,5,659
20220731,0,ST-2700,ST-2087,1,13,2450
20220731,0,ST-2483,ST-1249,1,8,1070
20220731,0,ST-2222,ST-600,1,21,2630
20220731,0,ST-2353,ST-713,1,31,5045
20220731,0,ST-714,ST-884,1,10,1180
20220731,0,ST-2905,ST-37,1,40,6354
20220731,0,ST-873,ST-1523,1,17,2433
20220731,0,ST-3015,ST-3015,1,3,163
20220731,0,ST-2305,ST-2305,1,2,0
20220731,0,ST-2394,ST-702,1,16,2240
20220731,0,ST-17,ST-2785,1,10,1635
20220731,0,ST-547,ST-1092,1,20,4835
20220731,0,ST-635,ST-1537,1,6,1070
20220731,0,ST-2223,ST-608,1,47,7146
20220731,0,ST-86,ST-2905,1,36,4250
20220731,0,ST-409,ST-242,1,13,1690
20220731,0,ST-2609,ST-1584,1,10,1350
20220731,0,ST-2167,ST-555,1,28,3780
20220731,0,ST-1620,ST-372,1,43,9250
20220731,0,ST-1195,ST-408,1,18,4175
20220731,0,ST-1402,ST-2481,1,22,4050
20220731,0,ST-2598,ST-2582,1,5,1690
20220731,0,ST-1500,ST-317,1,11,1910
20220731,0,ST-1088,ST-933,1,8,669
20220731,0,ST-1521,ST-668,1,84,21730
20220731,0,ST-1279,ST-3015,1,10,772
20220731,0,ST-173,ST-161,1,4,1280
20220731,0,ST-2813,ST-776,1,53,12450
20220731,0,ST-673,ST-1275,1,4,720
20220731,0,ST-151,ST-151,1,0,0
20220731,0,ST-1850,ST-504,1,11,1323
20220731,0,ST-1895,ST-2318,1,32,4643
20220731,0,ST-2394,ST-2822,1,56,8623
20220731,0,ST-3022,ST-1341,1,5,742
20220731,0,ST-1866,ST-2957,1,12,4150
20220731,0,ST-1286,ST-1475,1,9,2560
20220731,0,ST-3104,ST-997,1,7,1130
20220731,0,ST-108,ST-254,2,89,13238
20220731,0,ST-1718,ST-2412,1,21,3353
20220731,0,ST-2688,ST-2593,1,33,4620
20220731,0,ST-1660,ST-2310,1,28,1040
20220731,0,ST-1061,ST-1414,1,54,5310
20220731,0,ST-1718,ST-525,1,29,3359
20220731,0,ST-599,ST-566,1,1,450
20220731,0,ST-210,ST-210,1,14,2290
20220731,0,ST-2898,ST-913,1,20,7720
20220731,0,ST-437,ST-437,1,95,14846
20220731,0,ST-3106,ST-1924,1,17,2910
20220731,0,ST-220,ST-2195,2,42,6320
20220731,0,ST-2606,ST-905,1,11,2630
20220731,5,ST-2152,ST-40,1,5,670
20220731,5,ST-2031,ST-2890,1,7,966
20220731,5,ST-2175,ST-2175,1,0,0
20220731,5,ST-2487,ST-530,1,17,1844
20220731,5,ST-702,ST-2996,2,20,1500
20220731,5,ST-2810,ST-73,1,14,1788
20220731,5,ST-996,ST-536,1,3,490
20220731,5,ST-802,ST-3077,1,7,1297
20220731,5,ST-2067,ST-2067,1,57,1965
20220731,5,ST-297,ST-702,1,66,24341
20220731,5,ST-886,ST-702,1,24,2848
20220731,5,ST-2799,ST-2799,3,74,13109
20220731,5,ST-1718,ST-308,1,24,4840
20220731,5,ST-1837,ST-2840,1,4,580
20220731,5,ST-2693,ST-1456,1,18,4470
20220731,5,ST-1862,ST-1681,1,6,1610
20220731,5,ST-585,ST-585,1,0,0
20220731,5,ST-2602,ST-2991,1,15,3040
20220731,5,ST-1895,ST-1576,1,10,1870
20220731,5,ST-2545,ST-2312,1,13,1988
20220731,5,ST-151,ST-171,1,24,2970
20220731,5,ST-253,ST-361,1,12,1816
20220731,5,ST-2375,ST-2382,1,23,3220
20220731,5,ST-339,ST-339,1,76,20258
20220731,5,ST-196,ST-3052,1,14,1730
20220731,5,ST-1093,ST-2290,1,18,1314
20220731,5,ST-1780,ST-2427,1,22,3454
20220731,5,ST-1846,ST-2740,1,23,3496
20220731,5,ST-818,ST-819,1,9,833
20220731,5,ST-3024,ST-1099,1,12,2250
20220731,5,ST-1280,ST-3060,2,44,5062
20220731,5,ST-586,ST-603,1,13,2360
20220731,5,ST-750,ST-760,1,41,3610
20220731,5,ST-2518,ST-1619,1,7,652
20220731,5,ST-739,ST-839,1,12,1660
20220731,5,ST-1817,ST-158,1,4,555
20220731,5,ST-446,ST-1660,1,8,2290
20220731,5,ST-2040,ST-2491,1,11,1710
20220731,5,ST-2129,ST-2129,1,0,0
20220731,5,ST-2016,ST-2960,1,10,1688
20220731,5,ST-1435,ST-241,1,49,5161
20220731,5,ST-690,ST-1150,1,8,1305
20220731,5,ST-213,ST-3008,1,4,990
20220731,5,ST-369,ST-1440,1,2,0
20220731,5,ST-463,ST-460,1,5,900
20220731,5,ST-2575,ST-1853,1,1,0
20220731,5,ST-1081,ST-1793,1,3,770
20220731,5,ST-1660,ST-2305,1,3,823
20220731,5,ST-1835,ST-1846,1,3,636
20220731,5,ST-712,ST-2948,1,2,380
20220731,5,ST-1879,ST-1886,1,9,944
20220731,5,ST-2073,ST-971,1,13,2150
20220731,5,ST-1474,ST-847,1,7,803
20220731,5,ST-2394,ST-702,1,14,2432
20220731,5,ST-834,ST-1249,1,7,88
20220731,5,ST-1298,ST-2342,2,10,1463
20220731,5,ST-702,ST-2614,1,4,460
20220731,5,ST-702,ST-2653,1,28,2520
20220731,5,ST-1660,ST-2865,1,14,1293
20220731,5,ST-1885,ST-1331,1,72,23958
20220731,5,ST-2764,ST-312,1,8,730
20220731,5,ST-1681,ST-544,1,21,2858
20220731,5,ST-2309,ST-2309,1,71,14477
20220731,5,ST-1266,ST-983,1,5,580
20220731,5,ST-2321,ST-2467,1,12,875
20220731,5,ST-842,ST-842,1,0,0
20220731,5,ST-1855,ST-737,1,7,956
20220731,5,ST-2394,ST-2370,1,6,800
20220731,5,ST-2768,ST-996,1,10,802
20220731,5,ST-1999,ST-1015,1,7,977
20220731,5,ST-1204,ST-2074,1,3,580
20220731,5,ST-951,ST-1236,1,35,8689
20220731,5,ST-513,ST-514,1,4,663
20220731,5,ST-723,ST-884,1,12,1740
20220731,5,ST-2045,ST-2050,1,7,1206
20220731,5,ST-1121,ST-1473,1,14,1810
20220731,5,ST-464,ST-481,1,7,691
20220731,5,ST-369,ST-358,1,3,320
20220731,5,ST-2765,ST-2013,1,6,789
20220731,5,ST-1203,ST-1105,1,3,460
20220731,5,ST-1137,ST-2107,1,3,490
20220731,5,ST-3051,ST-183,1,4,830
20220731,5,ST-548,ST-547,1,3,490
20220731,5,ST-1249,ST-1249,1,0,0
20220731,5,ST-842,ST-1454,1,9,1590
20220731,5,ST-2860,ST-1266,1,53,4920
20220731,5,ST-3000,ST-2081,1,6,1600
20220731,5,ST-1474,ST-3000,1,2,460
20220731,5,ST-1300,ST-2274,1,23,4310
20220731,5,ST-724,ST-727,1,20,3540
20220731,5,ST-900,ST-1683,1,41,4560
20220731,5,ST-3105,ST-703,1,4,890
20220731,5,ST-453,ST-33,1,32,6050
20220731,5,ST-1287,ST-1633,1,25,5270
20220731,5,ST-854,ST-2289,1,13,1257
20220731,5,ST-455,ST-1025,1,5,974
20220731,5,ST-1961,ST-1529,1,5,1100
20220731,5,ST-1603,ST-2317,1,9,1343
20220731,5,ST-920,ST-1228,1,3,540
20220731,5,ST-470,ST-473,1,6,1211
20220731,5,ST-1632,ST-397,1,5,470
20220731,5,ST-244,ST-408,1,8,1362
20220731,5,ST-673,ST-673,1,0,0
20220731,5,ST-1838,ST-2878,1,19,4722
20220731,5,ST-1638,ST-2799,1,41,5471
20220731,5,ST-1484,ST-473,1,6,644
20220731,5,ST-1032,ST-1032,1,94,12800
20220731,5,ST-1866,ST-2798,1,24,1684
20220731,5,ST-1398,ST-1732,1,14,2510
20220731,5,ST-2812,CENTER,1,500,0
20220731,5,ST-262,ST-1300,1,7,1052
20220731,5,ST-265,ST-1631,1,6,894
20220731,5,ST-1910,ST-753,1,25,4206
20220731,5,ST-2031,ST-1718,1,5,251
20220731,5,ST-2167,ST-2156,1,5,815
20220731,5,ST-2309,ST-984,1,7,810
20220731,5,ST-1249,ST-2994,1,9,1370
20220731,5,ST-1838,ST-501,1,7,1150
20220731,5,ST-3061,ST-2822,1,12,2179
20220731,5,ST-2046,ST-522,1,19,2020
20220731,5,ST-784,ST-1656,1,28,8370
